Type,Region,Site,Name,Lat,Long
wq,6,6.1,Bay of Quinte,44.09608333,-76.88619444
wq,6,6.2,Cataraqui River,44.23720278,-76.47911389
wq,6,6.3,Rice Lake,44.14711111,-78.23116667
wq,6,6.4,Little Lake,44.30036111,-78.30802778
wq,6,6.5,Sturgeon Lake,44.46258333,-78.69566667
wq,6,6.6,Chemong Lake,44.47344444,-78.34911111
wq,6,6.7,Katchewanooka Lake,44.43180556,-78.27330556
wq,9,9.1,Princess Point Channel,43.27345833,-79.89351389
wq,9,9.3,Fifteen Mile Pond Outlet,43.18339167,-79.31741944
wq,9,9.4,Sixteen Mile Pond Outlet,43.18117778,-79.32851944
wq,9,9.5,Niagara River (near Navy Island),43.05323056,-79.02359444
wq,9,9.6,Lake Erie at Waverly Beach,42.88275,-78.93908333
wq,9,9.7,West Thames River,42.95509167,-81.38818611
wq,9,9.8,Grand Bend Beach,43.31487778,-81.76595556
wq,9,9.9,Grand Bend Upstream,43.30688611,-81.75545
wq,1,10,Winnipeg River near Boudreau Island,49.84238056,-94.592775
baitfish,1,10,Winnipeg River near Boudreau Island,49.84238056,-94.592775
wq,1,11,Lake of the Woods,49.67803611,-94.48075556
wq,1,12,Alexandria Bay,48.86638611,-93.43398333
wq,1,13,Rainy Lake,48.85684444,-93.34965833
wq,1,14,Marmion Lake,48.85686667,-91.58275556
wq,1,16,Nym Lake,48.70183333,-91.46127222
baitfish,1,16,Nym Lake,48.70183333,-91.46127222
wq,1,60,Revell River,49.54422222,-92.17633611
wq,1,61,Bending Creek,49.51321,-92.19644
wq,1,64,Wabigoon River,49.58303,-92.19533
wq,1,65,Mennin River,49.55105833,-92.32464444
wq,2,20,Hurkett Cove Conservation Area,48.82510833,-88.48739167
baitfish,2,20,Hurkett Cove Conservation Area,48.82510833,-88.48739167
wq,2,21,Honeymoon Cove,48.961025,-88.21979444
wq,2,22,Cody Island,48.79923056,-86.9989
wq,3,30,Kamiskotia Lake,48.57102778,-81.615
baitfish,3,30,Kamiskotia Lake,48.57102778,-81.615
wq,3,31,Fountain Falls,47.26936111,-79.65313889
baitfish,3,31,Fountain Falls,47.26936111,-79.65313889
wq,3,32,Lake Temiskaming,47.33227778,-79.52213889
wq,4,40,St. Mary's River,46.53773611,-84.21338611
wq,4,41,Garden River,46.54302222,-84.15761944
baitfish,4,41,Garden River,46.54302222,-84.15761944
wq,4,42,Rock Lake Inflow,46.45005278,-83.78213333
baitfish,4,42,Rock Lake Inflow,46.45005278,-83.78213333
wq,4,43,Rock Lake Inflow,46.439625,-83.78260833
